observation_date,INFECTDISEMVTRACKD
2015-06-23,0.00
2015-06-24,0.47
2015-06-25,0.41
2015-06-26,0.00
2015-06-27,0.00
2015-06-28,0.00
2015-06-29,0.00
2015-06-30,0.00
2015-07-01,0.00
2015-07-02,0.00
2015-07-03,0.58
2015-07-04,0.00
2015-07-05,0.00
2015-07-06,0.00
2015-07-07,0.60
2015-07-08,0.00
2015-07-09,0.00
2015-07-10,0.00
2015-07-11,0.00
2015-07-12,0.00
2015-07-13,0.00
2015-07-14,0.00
2015-07-15,0.00
2015-07-16,0.43
2015-07-17,0.50
2015-07-18,0.79
2015-07-19,0.00
2015-07-20,1.59
2015-07-21,0.58
2015-07-22,0.00
2015-07-23,0.87
2015-07-24,0.00
2015-07-25,0.78
2015-07-26,1.85
2015-07-27,0.00
2015-07-28,0.59
2015-07-29,0.49
2015-07-30,0.00
2015-07-31,0.00
2015-08-01,0.00
2015-08-02,0.00
2015-08-03,0.75
2015-08-04,0.59
2015-08-05,0.00
2015-08-06,0.00
2015-08-07,0.00
2015-08-08,0.00
2015-08-09,0.00
2015-08-10,0.80
2015-08-11,0.59
2015-08-12,0.49
2015-08-13,0.00
2015-08-14,0.00
2015-08-15,0.00
2015-08-16,1.30
2015-08-17,0.00
2015-08-18,1.17
2015-08-19,0.00
2015-08-20,0.40
2015-08-21,0.00
2015-08-22,2.97
2015-08-23,2.47
2015-08-24,0.78
2015-08-25,1.70
2015-08-26,0.46
2015-08-27,0.39
2015-08-28,0.48
2015-08-29,1.41
2015-08-30,2.41
2015-08-31,5.11
2015-09-01,0.55
2015-09-02,0.45
2015-09-03,0.00
2015-09-04,0.47
2015-09-05,0.00
2015-09-06,1.22
2015-09-07,0.00
2015-09-08,0.00
2015-09-09,0.00
2015-09-10,0.00
2015-09-11,0.46
2015-09-12,0.00
2015-09-13,0.00
2015-09-14,0.76
2015-09-15,0.62
2015-09-16,0.00
2015-09-17,0.41
2015-09-18,0.46
2015-09-19,0.00
2015-09-20,0.00
2015-09-21,0.00
2015-09-22,0.00
2015-09-23,0.45
2015-09-24,0.00
2015-09-25,0.00
2015-09-26,0.00
2015-09-27,0.58
2015-09-28,0.00
2015-09-29,0.56
2015-09-30,0.44
2015-10-01,0.00
2015-10-02,0.00
2015-10-03,0.00
2015-10-04,1.76
2015-10-05,0.00
2015-10-06,1.10
2015-10-07,0.00
2015-10-08,0.00
2015-10-09,0.00
2015-10-10,0.00
2015-10-11,0.00
2015-10-12,0.00
2015-10-13,1.70
2015-10-14,0.00
2015-10-15,0.00
2015-10-16,0.93
2015-10-17,0.00
2015-10-18,0.60
2015-10-19,0.00
2015-10-20,0.00
2015-10-21,0.00
2015-10-22,0.39
2015-10-23,0.00
2015-10-24,0.00
2015-10-25,0.00
2015-10-26,0.00
2015-10-27,0.00
2015-10-28,0.00
2015-10-29,0.00
2015-10-30,0.45
2015-10-31,0.64
2015-11-01,0.00
2015-11-02,0.00
2015-11-03,0.00
2015-11-04,0.44
2015-11-05,0.00
2015-11-06,0.00
2015-11-07,1.32
2015-11-08,1.72
2015-11-09,1.43
2015-11-10,0.00
2015-11-11,0.46
2015-11-12,0.00
2015-11-13,0.47
2015-11-14,0.00
2015-11-15,0.00
2015-11-16,1.48
2015-11-17,0.00
2015-11-18,0.46
2015-11-19,0.78
2015-11-20,1.41
2015-11-21,0.67
2015-11-22,0.00
2015-11-23,0.00
2015-11-24,0.00
2015-11-25,0.00
2015-11-26,0.00
2015-11-27,0.00
2015-11-28,0.76
2015-11-29,0.00
2015-11-30,0.00
2015-12-01,0.57
2015-12-02,0.46
2015-12-03,0.00
2015-12-04,0.00
2015-12-05,1.37
2015-12-06,0.00
2015-12-07,0.00
2015-12-08,0.00
2015-12-09,0.00
2015-12-10,0.00
2015-12-11,0.00
2015-12-12,0.73
2015-12-13,0.00
2015-12-14,0.79
2015-12-15,0.00
2015-12-16,0.00
2015-12-17,0.00
2015-12-18,0.00
2015-12-19,0.00
2015-12-20,0.00
2015-12-21,0.00
2015-12-22,0.62
2015-12-23,0.00
2015-12-24,0.00
2015-12-25,0.90
2015-12-26,0.00
2015-12-27,0.00
2015-12-28,6.03
2015-12-29,0.00
2015-12-30,0.00
2015-12-31,0.00
2016-01-01,1.58
2016-01-02,0.92
2016-01-03,2.04
2016-01-04,0.00
2016-01-05,0.00
2016-01-06,0.00
2016-01-07,2.89
2016-01-08,1.51
2016-01-09,0.71
2016-01-10,0.00
2016-01-11,0.00
2016-01-12,0.58
2016-01-13,0.93
2016-01-14,1.60
2016-01-15,0.00
2016-01-16,0.00
2016-01-17,0.63
2016-01-18,0.84
2016-01-19,0.60
2016-01-20,0.00
2016-01-21,4.85
2016-01-22,1.00
2016-01-23,1.47
2016-01-24,1.91
2016-01-25,0.78
2016-01-26,0.00
2016-01-27,0.00
2016-01-28,0.00
2016-01-29,0.49
2016-01-30,0.72
2016-01-31,1.21
2016-02-01,1.48
2016-02-02,1.13
2016-02-03,0.45
2016-02-04,0.39
2016-02-05,0.49
2016-02-06,1.43
2016-02-07,0.62
2016-02-08,2.40
2016-02-09,0.59
2016-02-10,0.48
2016-02-11,0.41
2016-02-12,0.00
2016-02-13,0.00
2016-02-14,0.00
2016-02-15,1.73
2016-02-16,0.00
2016-02-17,0.00
2016-02-18,0.86
2016-02-19,2.94
2016-02-20,0.00
2016-02-21,0.00
2016-02-22,0.00
2016-02-23,2.21
2016-02-24,0.44
2016-02-25,0.00
2016-02-26,0.00
2016-02-27,1.39
2016-02-28,1.00
2016-02-29,0.56
2016-03-01,2.95
2016-03-02,0.32
2016-03-03,0.30
2016-03-04,0.36
2016-03-05,0.00
2016-03-06,0.51
2016-03-07,1.15
2016-03-08,0.44
2016-03-09,0.33
2016-03-10,0.00
2016-03-11,0.38
2016-03-12,0.00
2016-03-13,0.00
2016-03-14,0.59
2016-03-15,0.88
2016-03-16,0.33
2016-03-17,0.29
2016-03-18,0.00
2016-03-19,0.63
2016-03-20,1.03
2016-03-21,1.20
2016-03-22,0.89
2016-03-23,0.97
2016-03-24,0.59
2016-03-25,0.75
2016-03-26,1.26
2016-03-27,1.54
2016-03-28,1.16
2016-03-29,0.86
2016-03-30,1.63
2016-03-31,0.59
2016-04-01,0.72
2016-04-02,1.25
2016-04-03,1.03
2016-04-04,1.09
2016-04-05,0.40
2016-04-06,0.00
2016-04-07,0.00
2016-04-08,1.43
2016-04-09,0.61
2016-04-10,0.00
2016-04-11,0.00
2016-04-12,0.41
2016-04-13,0.00
2016-04-14,0.27
2016-04-15,1.05
2016-04-16,0.61
2016-04-17,0.52
2016-04-18,0.51
2016-04-19,0.00
2016-04-20,0.32
2016-04-21,0.29
2016-04-22,2.88
2016-04-23,1.19
2016-04-24,0.49
2016-04-25,0.00
2016-04-26,0.42
2016-04-27,0.93
2016-04-28,0.57
2016-04-29,0.34
2016-04-30,0.58
2016-05-01,1.00
2016-05-02,1.60
2016-05-03,0.41
2016-05-04,0.62
2016-05-05,0.29
2016-05-06,1.11
2016-05-07,0.60
2016-05-08,0.00
2016-05-09,0.00
2016-05-10,0.40
2016-05-11,0.00
2016-05-12,0.28
2016-05-13,0.71
2016-05-14,0.60
2016-05-15,1.02
2016-05-16,0.49
2016-05-17,0.40
2016-05-18,0.31
2016-05-19,0.28
2016-05-20,0.00
2016-05-21,1.20
2016-05-22,1.53
2016-05-23,0.59
2016-05-24,0.00
2016-05-25,0.33
2016-05-26,0.00
2016-05-27,0.37
2016-05-28,0.00
2016-05-29,0.52
2016-05-30,0.00
2016-05-31,0.00
2016-06-01,0.34
2016-06-02,0.30
2016-06-03,0.00
2016-06-04,0.00
2016-06-05,2.12
2016-06-06,0.55
2016-06-07,0.00
2016-06-08,0.68
2016-06-09,0.31
2016-06-10,0.39
2016-06-11,1.30
2016-06-12,1.05
2016-06-13,4.94
2016-06-14,1.72
2016-06-15,0.70
2016-06-16,1.20
2016-06-17,0.40
2016-06-18,0.67
2016-06-19,0.00
2016-06-20,0.00
2016-06-21,0.45
2016-06-22,0.00
2016-06-23,0.00
2016-06-24,0.00
2016-06-25,0.00
2016-06-26,0.53
2016-06-27,0.00
2016-06-28,1.34
2016-06-29,1.79
2016-06-30,0.64
2016-07-01,1.25
2016-07-02,0.68
2016-07-03,0.57
2016-07-04,0.00
2016-07-05,0.53
2016-07-06,0.73
2016-07-07,0.00
2016-07-08,0.43
2016-07-09,0.00
2016-07-10,2.82
2016-07-11,1.87
2016-07-12,4.38
2016-07-13,0.00
2016-07-14,0.00
2016-07-15,0.41
2016-07-16,0.68
2016-07-17,1.11
2016-07-18,0.00
2016-07-19,3.78
2016-07-20,0.35
2016-07-21,0.32
2016-07-22,0.00
2016-07-23,0.00
2016-07-24,0.00
2016-07-25,0.00
2016-07-26,0.00
2016-07-27,0.00
2016-07-28,0.00
2016-07-29,1.24
2016-07-30,0.00
2016-07-31,0.00
2016-08-01,0.61
2016-08-02,0.00
2016-08-03,1.74
2016-08-04,0.00
2016-08-05,0.00
2016-08-06,0.00
2016-08-07,1.10
2016-08-08,0.62
2016-08-09,0.00
2016-08-10,0.00
2016-08-11,0.63
2016-08-12,0.40
2016-08-13,0.65
2016-08-14,0.00
2016-08-15,0.00
2016-08-16,0.46
2016-08-17,0.00
2016-08-18,0.00
2016-08-19,0.00
2016-08-20,0.00
2016-08-21,0.00
2016-08-22,0.00
2016-08-23,0.44
2016-08-24,0.00
2016-08-25,0.30
2016-08-26,0.00
2016-08-27,0.60
2016-08-28,2.12
2016-08-29,0.00
2016-08-30,0.42
2016-08-31,0.00
2016-09-01,0.00
2016-09-02,0.00
2016-09-03,0.00
2016-09-04,0.53
2016-09-05,0.89
2016-09-06,0.00
2016-09-07,0.00
2016-09-08,0.30
2016-09-09,0.00
2016-09-10,0.00
2016-09-11,0.51
2016-09-12,0.00
2016-09-13,0.00
2016-09-14,0.32
2016-09-15,0.29
2016-09-16,0.38
2016-09-17,0.58
2016-09-18,1.04
2016-09-19,0.00
2016-09-20,0.43
2016-09-21,0.30
2016-09-22,0.00
2016-09-23,0.36
2016-09-24,0.59
2016-09-25,0.52
2016-09-26,0.59
2016-09-27,0.00
2016-09-28,0.35
2016-09-29,0.00
2016-09-30,0.38
2016-10-01,0.58
2016-10-02,1.05
2016-10-03,1.01
2016-10-04,1.65
2016-10-05,0.33
2016-10-06,0.00
2016-10-07,0.00
2016-10-08,0.62
2016-10-09,4.88
2016-10-10,0.58
2016-10-11,3.36
2016-10-12,0.35
2016-10-13,0.30
2016-10-14,0.36
2016-10-15,0.59
2016-10-16,0.00
2016-10-17,0.00
2016-10-18,0.00
2016-10-19,0.00
2016-10-20,0.00
2016-10-21,0.37
2016-10-22,0.58
2016-10-23,1.02
2016-10-24,0.60
2016-10-25,1.76
2016-10-26,0.33
2016-10-27,0.30
2016-10-28,0.00
2016-10-29,1.13
2016-10-30,1.49
2016-10-31,1.18
2016-11-01,0.00
2016-11-02,1.25
2016-11-03,0.29
2016-11-04,0.00
2016-11-05,0.00
2016-11-06,0.00
2016-11-07,0.00
2016-11-08,0.00
2016-11-09,0.00
2016-11-10,0.00
2016-11-11,0.00
2016-11-12,0.58
2016-11-13,0.00
2016-11-14,0.00
2016-11-15,0.42
2016-11-16,0.00
2016-11-17,0.00
2016-11-18,0.00
2016-11-19,0.00
2016-11-20,1.60
2016-11-21,0.00
2016-11-22,0.00
2016-11-23,0.00
2016-11-24,0.46
2016-11-25,0.00
2016-11-26,0.00
2016-11-27,0.00
2016-11-28,0.00
2016-11-29,0.00
2016-11-30,0.00
2016-12-01,0.00
2016-12-02,0.00
2016-12-03,0.00
2016-12-04,0.00
2016-12-05,0.00
2016-12-06,0.00
2016-12-07,0.00
2016-12-08,0.00
2016-12-09,0.00
2016-12-10,0.61
2016-12-11,0.55
2016-12-12,0.00
2016-12-13,0.42
2016-12-14,0.00
2016-12-15,0.31
2016-12-16,0.37
2016-12-17,0.00
2016-12-18,0.00
2016-12-19,0.00
2016-12-20,0.43
2016-12-21,0.64
2016-12-22,0.32
2016-12-23,0.00
2016-12-24,0.00
2016-12-25,0.00
2016-12-26,0.00
2016-12-27,0.00
2016-12-28,0.78
2016-12-29,0.00
2016-12-30,0.00
2016-12-31,1.35
2017-01-01,0.62
2017-01-02,0.00
2017-01-03,0.48
2017-01-04,0.00
2017-01-05,0.00
2017-01-06,0.00
2017-01-07,0.63
2017-01-08,0.00
2017-01-09,0.00
2017-01-10,1.67
2017-01-11,0.66
2017-01-12,0.00
2017-01-13,0.37
2017-01-14,0.00
2017-01-15,0.56
2017-01-16,0.00
2017-01-17,0.45
2017-01-18,0.63
2017-01-19,0.31
2017-01-20,0.00
2017-01-21,0.00
2017-01-22,3.36
2017-01-23,0.00
2017-01-24,0.00
2017-01-25,0.31
2017-01-26,0.00
2017-01-27,0.00
2017-01-28,1.85
2017-01-29,0.00
2017-01-30,0.00
2017-01-31,0.00
2017-02-01,0.64
2017-02-02,0.00
2017-02-03,0.37
2017-02-04,1.14
2017-02-05,0.54
2017-02-06,0.00
2017-02-07,0.00
2017-02-08,0.00
2017-02-09,0.00
2017-02-10,0.00
2017-02-11,0.59
2017-02-12,0.54
2017-02-13,0.00
2017-02-14,0.00
2017-02-15,0.32
2017-02-16,0.30
2017-02-17,0.37
2017-02-18,0.00
2017-02-19,0.00
2017-02-20,0.97
2017-02-21,1.22
2017-02-22,0.63
2017-02-23,0.00
2017-02-24,0.73
2017-02-25,0.00
2017-02-26,0.00
2017-02-27,0.00
2017-02-28,0.00
2017-03-01,0.00
2017-03-02,0.00
2017-03-03,0.00
2017-03-04,0.00
2017-03-05,1.04
2017-03-06,0.55
2017-03-07,0.00
2017-03-08,0.00
2017-03-09,0.00
2017-03-10,0.35
2017-03-11,0.00
2017-03-12,0.54
2017-03-13,0.48
2017-03-14,0.00
2017-03-15,0.00
2017-03-16,0.31
2017-03-17,0.00
2017-03-18,0.00
2017-03-19,0.52
2017-03-20,1.18
2017-03-21,0.00
2017-03-22,0.63
2017-03-23,0.00
2017-03-24,0.00
2017-03-25,0.64
2017-03-26,2.61
2017-03-27,0.51
2017-03-28,0.39
2017-03-29,1.21
2017-03-30,0.00
2017-03-31,0.00
2017-04-01,0.00
2017-04-02,0.54
2017-04-03,0.59
2017-04-04,2.67
2017-04-05,0.00
2017-04-06,0.00
2017-04-07,0.00
2017-04-08,0.00
2017-04-09,0.53
2017-04-10,3.21
2017-04-11,0.00
2017-04-12,0.00
2017-04-13,0.00
2017-04-14,0.00
2017-04-15,1.27
2017-04-16,0.56
2017-04-17,0.00
2017-04-18,0.78
2017-04-19,0.90
2017-04-20,0.29
2017-04-21,0.00
2017-04-22,1.81
2017-04-23,0.00
2017-04-24,1.17
2017-04-25,1.23
2017-04-26,5.70
2017-04-27,0.00
2017-04-28,0.36
2017-04-29,0.00
2017-04-30,0.53
2017-05-01,0.50
2017-05-02,0.00
2017-05-03,0.00
2017-05-04,0.00
2017-05-05,0.00
2017-05-06,0.64
2017-05-07,0.00
2017-05-08,0.56
2017-05-09,0.00
2017-05-10,0.33
2017-05-11,0.00
2017-05-12,0.78
2017-05-13,0.00
2017-05-14,0.54
2017-05-15,0.00
2017-05-16,0.45
2017-05-17,0.00
2017-05-18,0.96
2017-05-19,0.39
2017-05-20,0.00
2017-05-21,0.00
2017-05-22,0.00
2017-05-23,0.00
2017-05-24,0.00
2017-05-25,0.00
2017-05-26,0.00
2017-05-27,0.00
2017-05-28,0.00
2017-05-29,0.00
2017-05-30,0.00
2017-05-31,0.00
2017-06-01,0.00
2017-06-02,0.00
2017-06-03,0.70
2017-06-04,1.17
2017-06-05,0.00
2017-06-06,0.00
2017-06-07,0.00
2017-06-08,0.00
2017-06-09,0.00
2017-06-10,0.69
2017-06-11,1.69
2017-06-12,1.32
2017-06-13,0.48
2017-06-14,0.71
2017-06-15,0.00
2017-06-16,0.00
2017-06-17,0.00
2017-06-18,0.00
2017-06-19,0.00
2017-06-20,0.00
2017-06-21,0.00
2017-06-22,0.00
2017-06-23,0.42
2017-06-24,0.69
2017-06-25,0.57
2017-06-26,0.00
2017-06-27,0.00
2017-06-28,2.26
2017-06-29,0.36
2017-06-30,0.00
2017-07-01,0.00
2017-07-02,0.00
2017-07-03,1.42
2017-07-04,0.00
2017-07-05,0.00
2017-07-06,0.00
2017-07-07,0.00
2017-07-08,0.72
2017-07-09,0.60
2017-07-10,0.00
2017-07-11,0.00
2017-07-12,0.00
2017-07-13,0.00
2017-07-14,0.00
2017-07-15,0.00
2017-07-16,0.00
2017-07-17,0.00
2017-07-18,0.00
2017-07-19,0.00
2017-07-20,0.00
2017-07-21,0.00
2017-07-22,0.00
2017-07-23,0.00
2017-07-24,0.00
2017-07-25,0.00
2017-07-26,0.37
2017-07-27,0.00
2017-07-28,0.00
2017-07-29,0.72
2017-07-30,0.59
2017-07-31,0.00
2017-08-01,2.97
2017-08-02,0.00
2017-08-03,0.00
2017-08-04,0.43
2017-08-05,0.00
2017-08-06,0.58
2017-08-07,0.00
2017-08-08,0.00
2017-08-09,0.00
2017-08-10,0.00
2017-08-11,0.00
2017-08-12,0.00
2017-08-13,0.00
2017-08-14,0.00
2017-08-15,0.00
2017-08-16,0.37
2017-08-17,0.00
2017-08-18,0.00
2017-08-19,2.00
2017-08-20,2.86
2017-08-21,0.00
2017-08-22,0.00
2017-08-23,0.35
2017-08-24,0.00
2017-08-25,0.00
2017-08-26,0.00
2017-08-27,1.12
2017-08-28,0.00
2017-08-29,3.71
2017-08-30,0.00
2017-08-31,0.32
2017-09-01,0.37
2017-09-02,0.00
2017-09-03,0.00
2017-09-04,0.00
2017-09-05,0.00
2017-09-06,0.00
2017-09-07,0.00
2017-09-08,1.14
2017-09-09,2.64
2017-09-10,0.52
2017-09-11,0.00
2017-09-12,0.00
2017-09-13,0.00
2017-09-14,0.32
2017-09-15,0.00
2017-09-16,0.00
2017-09-17,0.52
2017-09-18,0.00
2017-09-19,0.00
2017-09-20,0.34
2017-09-21,0.00
2017-09-22,0.00
2017-09-23,0.00
2017-09-24,0.00
2017-09-25,0.00
2017-09-26,0.00
2017-09-27,0.34
2017-09-28,0.32
2017-09-29,0.00
2017-09-30,0.00
2017-10-01,0.00
2017-10-02,0.58
2017-10-03,0.45
2017-10-04,0.00
2017-10-05,0.00
2017-10-06,0.38
2017-10-07,0.00
2017-10-08,0.00
2017-10-09,0.00
2017-10-10,0.00
2017-10-11,0.00
2017-10-12,0.00
2017-10-13,0.00
2017-10-14,0.00
2017-10-15,0.51
2017-10-16,0.00
2017-10-17,0.00
2017-10-18,0.00
2017-10-19,0.32
2017-10-20,0.37
2017-10-21,1.14
2017-10-22,1.01
2017-10-23,1.13
2017-10-24,0.44
2017-10-25,0.33
2017-10-26,0.31
2017-10-27,0.00
2017-10-28,0.00
2017-10-29,0.00
2017-10-30,0.00
2017-10-31,0.00
2017-11-01,0.00
2017-11-02,0.00
2017-11-03,0.00
2017-11-04,0.00
2017-11-05,0.98
2017-11-06,0.59
2017-11-07,0.00
2017-11-08,0.00
2017-11-09,0.00
2017-11-10,0.00
2017-11-11,0.00
2017-11-12,0.50
2017-11-13,0.00
2017-11-14,0.45
2017-11-15,0.00
2017-11-16,0.00
2017-11-17,0.00
2017-11-18,1.16
2017-11-19,0.00
2017-11-20,0.00
2017-11-21,0.00
2017-11-22,0.34
2017-11-23,0.48
2017-11-24,0.00
2017-11-25,0.00
2017-11-26,0.00
2017-11-27,0.60
2017-11-28,0.00
2017-11-29,0.00
2017-11-30,0.00
2017-12-01,0.00
2017-12-02,0.00
2017-12-03,1.50
2017-12-04,0.00
2017-12-05,0.45
2017-12-06,0.00
2017-12-07,0.00
2017-12-08,0.00
2017-12-09,0.00
2017-12-10,0.00
2017-12-11,0.00
2017-12-12,0.46
2017-12-13,0.00
2017-12-14,0.00
2017-12-15,0.00
2017-12-16,0.00
2017-12-17,2.23
2017-12-18,0.00
2017-12-19,1.41
2017-12-20,0.65
2017-12-21,0.33
2017-12-22,0.00
2017-12-23,0.00
2017-12-24,3.22
2017-12-25,0.00
2017-12-26,0.00
2017-12-27,0.41
2017-12-28,0.00
2017-12-29,0.45
2017-12-30,0.00
2017-12-31,1.76
2018-01-01,0.00
2018-01-02,0.00
2018-01-03,0.73
2018-01-04,0.00
2018-01-05,1.22
2018-01-06,0.61
2018-01-07,0.00
2018-01-08,0.00
2018-01-09,0.00
2018-01-10,0.00
2018-01-11,0.00
2018-01-12,0.38
2018-01-13,0.00
2018-01-14,0.56
2018-01-15,1.33
2018-01-16,0.47
2018-01-17,0.34
2018-01-18,0.00
2018-01-19,0.00
2018-01-20,1.25
2018-01-21,1.65
2018-01-22,0.59
2018-01-23,0.00
2018-01-24,0.31
2018-01-25,0.31
2018-01-26,0.00
2018-01-27,0.00
2018-01-28,1.05
2018-01-29,0.00
2018-01-30,0.00
2018-01-31,0.98
2018-02-01,0.64
2018-02-02,0.00
2018-02-03,0.62
2018-02-04,0.00
2018-02-05,0.61
2018-02-06,1.34
2018-02-07,0.96
2018-02-08,0.32
2018-02-09,0.75
2018-02-10,1.25
2018-02-11,1.09
2018-02-12,0.00
2018-02-13,0.41
2018-02-14,0.31
2018-02-15,0.00
2018-02-16,0.36
2018-02-17,0.61
2018-02-18,1.59
2018-02-19,0.63
2018-02-20,0.88
2018-02-21,0.00
2018-02-22,0.00
2018-02-23,0.00
2018-02-24,0.00
2018-02-25,0.54
2018-02-26,0.00
2018-02-27,0.00
2018-02-28,0.31
2018-03-01,0.00
2018-03-02,0.00
2018-03-03,0.00
2018-03-04,1.57
2018-03-05,0.00
2018-03-06,0.00
2018-03-07,0.00
2018-03-08,0.00
2018-03-09,0.38
2018-03-10,1.22
2018-03-11,1.10
2018-03-12,0.00
2018-03-13,0.00
2018-03-14,0.00
2018-03-15,0.64
2018-03-16,0.00
2018-03-17,0.00
2018-03-18,0.00
2018-03-19,0.00
2018-03-20,0.00
2018-03-21,0.00
2018-03-22,0.00
2018-03-23,0.00
2018-03-24,0.00
2018-03-25,1.67
2018-03-26,1.20
2018-03-27,2.16
2018-03-28,0.00
2018-03-29,0.32
2018-03-30,0.00
2018-03-31,0.00
2018-04-01,0.57
2018-04-02,0.00
2018-04-03,0.00
2018-04-04,0.00
2018-04-05,0.66
2018-04-06,0.37
2018-04-07,0.63
2018-04-08,3.40
2018-04-09,0.60
2018-04-10,0.00
2018-04-11,0.31
2018-04-12,0.31
2018-04-13,0.36
2018-04-14,0.00
2018-04-15,0.00
2018-04-16,0.59
2018-04-17,3.36
2018-04-18,0.00
2018-04-19,0.00
2018-04-20,0.00
2018-04-21,1.81
2018-04-22,0.00
2018-04-23,0.00
2018-04-24,0.42
2018-04-25,0.00
2018-04-26,0.30
2018-04-27,0.00
2018-04-28,0.00
2018-04-29,1.05
2018-04-30,0.00
2018-05-01,0.00
2018-05-02,0.00
2018-05-03,0.00
2018-05-04,0.00
2018-05-05,0.00
2018-05-06,1.11
2018-05-07,0.00
2018-05-08,0.00
2018-05-09,0.00
2018-05-10,0.00
2018-05-11,0.00
2018-05-12,0.00
2018-05-13,0.55
2018-05-14,0.00
2018-05-15,1.32
2018-05-16,0.00
2018-05-17,0.00
2018-05-18,0.00
2018-05-19,0.63
2018-05-20,4.39
2018-05-21,0.00
2018-05-22,0.00
2018-05-23,0.00
2018-05-24,0.00
2018-05-25,0.37
2018-05-26,0.00
2018-05-27,0.00
2018-05-28,0.95
2018-05-29,0.00
2018-05-30,0.00
2018-05-31,0.61
2018-06-01,0.00
2018-06-02,0.00
2018-06-03,0.00
2018-06-04,0.00
2018-06-05,0.00
2018-06-06,0.00
2018-06-07,0.32
2018-06-08,0.00
2018-06-09,0.00
2018-06-10,0.58
2018-06-11,0.63
2018-06-12,0.00
2018-06-13,0.00
2018-06-14,0.32
2018-06-15,0.00
2018-06-16,0.67
2018-06-17,0.00
2018-06-18,0.00
2018-06-19,0.44
2018-06-20,0.00
2018-06-21,0.33
2018-06-22,0.00
2018-06-23,0.00
2018-06-24,0.00
2018-06-25,1.30
2018-06-26,0.00
2018-06-27,0.00
2018-06-28,0.35
2018-06-29,0.00
2018-06-30,0.00
2018-07-01,0.00
2018-07-02,0.00
2018-07-03,0.00
2018-07-04,0.00
2018-07-05,0.00
2018-07-06,0.00
2018-07-07,0.00
2018-07-08,0.00
2018-07-09,0.00
2018-07-10,0.00
2018-07-11,0.39
2018-07-12,0.77
2018-07-13,0.00
2018-07-14,0.76
2018-07-15,1.33
2018-07-16,2.17
2018-07-17,0.00
2018-07-18,0.00
2018-07-19,0.00
2018-07-20,0.00
2018-07-21,0.00
2018-07-22,1.34
2018-07-23,0.00
2018-07-24,0.00
2018-07-25,0.00
2018-07-26,0.00
2018-07-27,0.00
2018-07-28,0.00
2018-07-29,0.67
2018-07-30,0.00
2018-07-31,1.08
2018-08-01,0.00
2018-08-02,0.00
2018-08-03,0.00
2018-08-04,0.00
2018-08-05,0.64
2018-08-06,0.00
2018-08-07,0.00
2018-08-08,0.00
2018-08-09,0.00
2018-08-10,0.46
2018-08-11,0.00
2018-08-12,0.00
2018-08-13,1.43
2018-08-14,0.00
2018-08-15,0.00
2018-08-16,0.00
2018-08-17,0.00
2018-08-18,0.71
2018-08-19,0.65
2018-08-20,0.00
2018-08-21,0.00
2018-08-22,0.00
2018-08-23,0.00
2018-08-24,0.00
2018-08-25,0.00
2018-08-26,1.23
2018-08-27,0.00
2018-08-28,0.49
2018-08-29,0.00
2018-08-30,0.36
2018-08-31,0.00
2018-09-01,0.00
2018-09-02,0.00
2018-09-03,0.00
2018-09-04,0.00
2018-09-05,0.00
2018-09-06,2.54
2018-09-07,0.40
2018-09-08,0.00
2018-09-09,0.00
2018-09-10,0.00
2018-09-11,0.00
2018-09-12,0.00
2018-09-13,0.35
2018-09-14,0.79
2018-09-15,0.00
2018-09-16,0.61
2018-09-17,0.00
2018-09-18,0.00
2018-09-19,0.37
2018-09-20,0.00
2018-09-21,0.00
2018-09-22,0.00
2018-09-23,2.47
2018-09-24,0.00
2018-09-25,0.00
2018-09-26,0.00
2018-09-27,0.00
2018-09-28,1.27
2018-09-29,0.00
2018-09-30,0.61
2018-10-01,0.00
2018-10-02,0.00
2018-10-03,0.36
2018-10-04,0.00
2018-10-05,0.82
2018-10-06,0.00
2018-10-07,1.90
2018-10-08,0.69
2018-10-09,0.00
2018-10-10,0.36
2018-10-11,0.00
2018-10-12,0.84
2018-10-13,0.64
2018-10-14,0.62
2018-10-15,0.00
2018-10-16,0.00
2018-10-17,0.73
2018-10-18,0.35
2018-10-19,0.83
2018-10-20,0.00
2018-10-21,0.00
2018-10-22,0.00
2018-10-23,0.50
2018-10-24,0.00
2018-10-25,0.71
2018-10-26,0.42
2018-10-27,1.28
2018-10-28,0.00
2018-10-29,1.32
2018-10-30,0.00
2018-10-31,0.00
2018-11-01,0.35
2018-11-02,0.00
2018-11-03,1.25
2018-11-04,1.21
2018-11-05,1.33
2018-11-06,0.00
2018-11-07,0.35
2018-11-08,0.00
2018-11-09,0.00
2018-11-10,0.00
2018-11-11,0.00
2018-11-12,0.00
2018-11-13,0.00
2018-11-14,0.75
2018-11-15,0.00
2018-11-16,0.00
2018-11-17,0.67
2018-11-18,0.63
2018-11-19,1.68
2018-11-20,0.00
2018-11-21,0.00
2018-11-22,0.00
2018-11-23,0.53
2018-11-24,0.00
2018-11-25,0.00
2018-11-26,0.00
2018-11-27,0.51
2018-11-28,0.38
2018-11-29,0.38
2018-11-30,0.44
2018-12-01,0.00
2018-12-02,0.63
2018-12-03,0.00
2018-12-04,0.00
2018-12-05,0.36
2018-12-06,0.37
2018-12-07,0.00
2018-12-08,0.00
2018-12-09,0.00
2018-12-10,0.00
2018-12-11,1.01
2018-12-12,0.00
2018-12-13,0.00
